name,operator,city,state,lat,lon,coord_source,capacity_mw,mw_basis,status,notes,source_url,provenance
"Meta — Altoona, Iowa AI Data Center Campus",Meta,Altoona,IA,41.652,-93.47,aidatacenterindex.com record (CC BY 4.0),350.0,,operational,operational,https://about.fb.com/news/2015/01/facebook-chooses-altoona-iowa-for-sixth-data-center/,seed: aidatacenterindex.com (CC BY 4.0)
"Meta — Fort Worth, Texas AI Training Campus",Meta,Fort Worth,TX,32.7555,-97.3308,aidatacenterindex.com record (CC BY 4.0),350.0,,operational,operational,https://about.fb.com/news/2017/06/update-on-our-data-center-in-fort-worth/,seed: aidatacenterindex.com (CC BY 4.0)
"Meta — Papillion, Nebraska AI Data Center",Meta,Papillion,NE,41.132,-96.037,aidatacenterindex.com record (CC BY 4.0),300.0,,operational,operational,https://sustainability.fb.com/report/2023-sustainability-report/,seed: aidatacenterindex.com (CC BY 4.0)
Meta — Prineville Oregon Data Center,Meta,Prineville,OR,44.2996,-120.8346,aidatacenterindex.com record (CC BY 4.0),300.0,,operational,operational,https://engineering.fb.com/2011/09/15/data-center-engineering/building-energy-efficient-data-centers-with-open-compute/,seed: aidatacenterindex.com (CC BY 4.0)
"Microsoft — San Antonio, Texas AI Data Center Campus",Microsoft,San Antonio,TX,29.461,-98.505,aidatacenterindex.com record (CC BY 4.0),300.0,,operational,operational,https://azure.microsoft.com/en-us/explore/global-infrastructure/data-residency/,seed: aidatacenterindex.com (CC BY 4.0)
Meta — Montgomery AI Expansion,Meta,Montgomery,AL,32.366,-86.299,aidatacenterindex.com record (CC BY 4.0),227.0,,planned,under_construction,https://www.madeinalabama.com/2024/05/meta-plans-800-million-expansion-at-montgomery-data-center/,seed: aidatacenterindex.com (CC BY 4.0)
Vantage Nevada AI Data Center (NV1),Vantage Data Centers,Henderson,NV,36.039,-114.982,aidatacenterindex.com record (CC BY 4.0),224.0,,planned,under_construction,https://vantage-dc.com/news/vantage-breaks-ground-on-nevada-campus,seed: aidatacenterindex.com (CC BY 4.0)
DC BLOX — Conyers AI Campus,DC BLOX,Conyers,GA,33.667,-84.017,aidatacenterindex.com record (CC BY 4.0),216.0,,planned,under_construction,https://www.dcblox.com/news/dc-blox-announces-216mw-campus-in-conyers-georgia/,seed: aidatacenterindex.com (CC BY 4.0)
"Apple — Maiden, North Carolina Data Center",Apple,Maiden,NC,35.572,-81.211,aidatacenterindex.com record (CC BY 4.0),200.0,,operational,operational,https://www.apple.com/newsroom/2012/04/26Apple-Begins-Powering-Data-Center-with-Renewable-Energy/,seed: aidatacenterindex.com (CC BY 4.0)
"Meta — Forest City, North Carolina AI Data Center Campus",Meta,Forest City,NC,35.334,-81.862,aidatacenterindex.com record (CC BY 4.0),200.0,,operational,operational,https://about.fb.com/news/2012/11/update-from-forest-city/,seed: aidatacenterindex.com (CC BY 4.0)
Vantage Data Centers — US West AI Campus (Santa Clara/Phoenix),Vantage Data Centers,Santa Clara,CA,37.354,-121.955,aidatacenterindex.com record (CC BY 4.0),200.0,,operational,operational,https://www.vantage-dc.com/locations/north-america/,seed: aidatacenterindex.com (CC BY 4.0)
"Google — Henderson, Nevada Data Center",Google,Henderson,NV,36.046,-114.966,aidatacenterindex.com record (CC BY 4.0),150.0,,operational,operational,https://www.google.com/about/datacenters/locations/henderson/,seed: aidatacenterindex.com (CC BY 4.0)
"Apple — Prineville, Oregon Data Center",Apple,Prineville,OR,44.302,-120.835,aidatacenterindex.com record (CC BY 4.0),120.0,,operational,operational,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2024.pdf,seed: aidatacenterindex.com (CC BY 4.0)
Equinix SV18 Silicon Valley (California),Equinix,San Jose,CA,37.234,-121.785,aidatacenterindex.com record (CC BY 4.0),117.0,,planned,planned,https://www.equinix.com/newsroom/press-releases/2026/02/equinix-silicon-valley-sv18-data-center,seed: aidatacenterindex.com (CC BY 4.0)
Crusoe Energy — AI Cloud Data Centers (US),Crusoe Energy Systems,Denver,CO,39.733,-104.984,aidatacenterindex.com record (CC BY 4.0),100.0,,operational,operational,https://www.crusoeenergy.com/,seed: aidatacenterindex.com (CC BY 4.0)
Switch Citadel Campus (Tahoe Reno),Switch,Storey County (Tahoe Reno Industrial Center),NV,39.5538819,-119.489697,"geocoded (Google Maps): Tahoe Reno Industrial Center, Storey County, NV",650,designed campus capacity (7.2M sq ft),operational,Campus expanding toward 650MW; TAHOE RENO 1 alone 130MW,https://www.switch.com/switch-tahoe-reno-data-center-now-open/,researched
QTS Ashburn Mega Campus,QTS Data Centers,Ashburn,VA,39.0437567,-77.4874416,"geocoded (Google Maps): Ashburn, Virginia",140,"gross power, per 2017 development announcement",operational,52-acre campus; campus has expanded beyond initial announcement,https://www.prnewswire.com/news-releases/qts-announces-development-of-mega-data-center-campus-in-ashburn-virginia-300542521.html,researched
Vantage Phoenix (AZ1) Campus,Vantage Data Centers,Goodyear,AZ,33.4353394,-112.3576567,"geocoded (Google Maps): Goodyear, Arizona",176,"critical IT load, fully developed",operational,"50-acre, 5-building campus",https://vantage-dc.com/data-center-locations/north-america/phoenix-arizona/,researched
CyrusOne Chandler Campus (PHX1-PHX8),CyrusOne,Chandler,AZ,33.3061605,-111.8412502,"geocoded (Google Maps): Chandler, Arizona",169,campus IT capacity,operational,,https://www.cyrusone.com/data-centers/north-america/chandler-arizona,researched
CyrusOne Aurora Campus (CHI1-CHI3),CyrusOne,Aurora,IL,41.7605849,-88.32007150000001,"geocoded (Google Maps): Aurora, Illinois",114,total IT capacity,operational,,https://www.cyrusone.com/data-centers/north-america/aurora-il,researched
CloudHQ LC Campus,CloudHQ,Ashburn,VA,39.01015,-77.4627,operator-published coordinates (cloudhq.com),1256,planned total critical IT load across 14 data centers,under construction,756MW available critical IT load advertised; LC3/LC4 under construction; campus partially delivering,https://cloudhq.com/campus/lc-campus/,researched
STACK Atlanta Campus,STACK Infrastructure,Atlanta,GA,33.7501275,-84.3885209,"geocoded (Google Maps): Atlanta, Georgia",180,2 sites,operational,,https://www.stackinfra.com/locations/americas/,researched
STACK Portland Campus,STACK Infrastructure,Hillsboro,OR,45.5226842,-122.9897767,"geocoded (Google Maps): Hillsboro, Oregon",250,3 sites; POR03 alone 200MW,operational,,https://www.stackinfra.com/locations/americas/portland/por03/,researched
STACK Silicon Valley Campus,STACK Infrastructure,San Jose,CA,37.33874,-121.8852525,"geocoded (Google Maps): San Jose, California",200,2 sites,operational,,https://www.stackinfra.com/locations/americas/,researched
Digital Realty Ashburn Campus,Digital Realty,Ashburn,VA,39.0437567,-77.4874416,"geocoded (Google Maps): Ashburn, Virginia",500,total campus capacity per operator,operational,98-acre Dulles corridor campus,https://www.digitalrealty.com/data-centers/americas/northern-virginia/iad24,researched
Vantage Ashburn I Campus,Vantage Data Centers,Ashburn,VA,39.0437567,-77.4874416,"geocoded (Google Maps): Ashburn, Virginia",206,critical IT load at full buildout,operational,"52-acre, 6-facility campus",https://vantage-dc.com/data-center-locations/north-america/ashburn-i-virginia/,researched
Switch Pyramid Campus (Grand Rapids),Switch,Grand Rapids,MI,42.9704146,-85.6721946,"geocoded (Google Maps): Grand Rapids, Michigan",237,campus power upon completion per operator,operational,Iconic pyramid campus; expanding,https://www.switch.com/grand-rapids/,researched
Meta Temple Data Center,Meta,Temple,TX,31.097633,-97.3408419,"geocoded (Google Maps): Temple, Texas",152,campus total per general contractor JE Dunn,operational,"386-acre, 3-building campus; first Meta AI-optimized DC online (July 2026); $1.2B investment",https://jedunn.com/projects/meta-temple-data-center/,researched
AWS Cumulus Campus (Susquehanna-adjacent),Amazon Web Services,Berwick (Salem Township),PA,41.1067697,-76.2015572,"geocoded (Google Maps): Salem Township, Luzerne County, PA",960,"campus plan at acquisition; expanded PPA allows up to 1,920MW",under construction,"Acquired from Talen Energy March 2024 for 650M; nuclear-adjacent campus; June 2025 expanded PPA to 1,920MW",https://www.datacenterdynamics.com/en/news/aws-acquires-talens-nuclear-data-center-campus-in-pennsylvania/,researched
Project Bunkhouse (Taurus / Digital Realty),Digital Realty (manager); Taurus Investment Holdings,Stilesboro (Bartow County),GA,34.087,-84.91,site coordinates from DRI filing (via Compute Atlas),1830,power need per Development of Regional Impact site plan reported by AJC,planned,"12-building, 8.7M sq ft campus; est. 19B value; three on-site substations",https://www.ajc.com/news/business/19b-data-center-campus-proposed-northwest-of-atlanta/FPMRPJCYERGXLLAND6IZACSVEM/,researched
Core Scientific Denton (CoreWeave HPC),Core Scientific,Denton,TX,33.2165858,-97.1324105,"geocoded (Google Maps): Denton, Texas",260,critical IT load contracted to CoreWeave per company PR,under construction,Part of ~590MW CoreWeave contract across six sites,https://investors.corescientific.com/news-events/press-releases/detail/110/core-scientific-and-coreweave-announce-1-2-billion-expansion-at-denton-tx-site,researched
IREN Childress Data Center,IREN,Childress,TX,34.4264542,-100.2040014,"geocoded (Google Maps): Childress, Texas",750,AI-optimised campus per operator,under construction,"576-acre site; phased, initial capacity operating",https://www.iren.com/data-centers/childress,researched
TeraWulf Lake Mariner Data Center,TeraWulf,Barker,NY,43.3276,-78.5539,"geocoded (Google Maps): Barker, New York",500,AI campus capacity per Data Center Knowledge; up to 750MW at full buildout per project site,operational,Former coal plant site on Lake Ontario; Fluidstack/Google-backed hosting deals,https://www.datacenterknowledge.com/ai-data-centers/how-a-coal-plant-in-buffalo-became-terawulf-s-500-mw-ai-campus,researched
Galaxy Helios Data Center Campus,Galaxy,Dickens County,TX,33.6167,-100.7837,"geocoded (Google Maps): Dickens County, Texas",800,approved gross power at Helios substation per company PR; 393MW CoreWeave committed + 133MW option,under construction,Phase I service H1 2026; 1.7GW additional under load study,https://www.galaxy.com/newsroom/galaxy-announces-commitment-with-coreweave,researched
Cipher Mining Barber Lake,Cipher Mining,Colorado City,TX,32.3881745,-100.8645576,"geocoded (Google Maps): Colorado City, Texas",300,full site capacity leased to Fluidstack per company PR,under construction,Google backstops Fluidstack obligations,https://ciphermining.gcs-web.com/news-releases/news-release-details/cipher-mining-signs-additional-56-mw-10-year-ai-hosting,researched
Nebius New Jersey AI Data Center (DataOne Vineland),Nebius,Vineland,NJ,39.48693919999999,-75.0430969,"geocoded (Google Maps): Vineland, New Jersey",300,expandable total per company announcement; 100MW committed by end-2025,operational,Phased go-live from summer 2025,https://nebius.com/blog/posts/300-mw-new-jersey-and-iceland-regions,researched
NTT Ashburn Campus,NTT Global Data Centers,Ashburn,VA,39.0437567,-77.4874416,"geocoded (Google Maps): Ashburn, Virginia",224,campus capacity per operator,operational,,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/ashburn-data-centers,researched
Core Scientific Calvert City,Core Scientific,Calvert City,KY,37.0333896,-88.3500362,"geocoded (Google Maps): Calvert City, Kentucky",150,total power capacity per operator,operational,Calvert 1-3; HPC conversion for CoreWeave,https://corescientific.com/high-density-data-centers/calvert-city-ky/,researched
Switch CORE Campus (Las Vegas),Switch,Las Vegas,NV,36.0603838,-115.2119694,"geocoded (Google Maps): 7135 S Decatur Blvd, Las Vegas, NV",495,campus power at completion per operator,operational,"7135 S Decatur Blvd; 11 operating DCs, expanding",https://www.switch.com/las-vegas/,researched
Hut 8 Vega Data Center,Hut 8,Pyote (Ward County),TX,31.5348555,-103.1262722,"geocoded (Google Maps): Pyote, Texas",205,nameplate energy capacity per company PR,operational,"Energized June 2025; single-building, liquid-cooled",https://www.globenewswire.com/news-release/2025/06/30/3107324/0/en/Hut-8-Energizes-Vega-Data-Center.html,researched
Iron Mountain Manassas Campus (VA-1..VA-9),Iron Mountain Data Centers,Manassas,VA,38.7743102,-77.54550139999999,"geocoded (Google Maps): 11680 Hayden Rd, Manassas, VA",400,existing and planned campus capacity per operator,operational,"142-acre campus, 7 operational facilities and expanding",https://www.ironmountain.com/data-centers/locations/virginia-data-center,researched
Novva Utah Data Center (West Jordan),Novva Data Centers,West Jordan,UT,40.5745488,-112.0455327,"geocoded (Google Maps): 6477 W Wells Park Rd, West Jordan, UT",200,on-site 200MW substation per operator,operational,"100-acre flagship campus, largest in Utah",https://www.novva.com/data-center-facilities/utah/,researched
QTS Richmond 1 Campus,QTS Data Centers,Richmond,VA,37.5407246,-77.4360481,"geocoded (Google Maps): Richmond, Virginia",238,campus power per operator,operational,"207-acre master-planned campus, 6 facilities",https://q.com/data-centers/richmond-1/,researched
Compass Red Oak Campus,Compass Datacenters,Red Oak,TX,32.5332101,-96.8153,"geocoded (Google Maps): Red Oak, Texas",350,350+MW IT load per development announcement,operational,225-acre Dallas-area campus,https://www.compassdatacenters.com/news/compass-datacenters-adds-second-dallas-area-campus/,researched
Applied Digital Polaris Forge 2,Applied Digital,Harwood,ND,46.8466,-96.8798,"geocoded (Google Maps): Harwood, North Dakota",280,designed capacity per company PR,under construction,Broke ground Sept 2025; full capacity early 2027,https://ir.applieddigital.com/news-events/press-releases/detail/127/applied-digital-to-break-ground-on-3-billion-polaris-forge,researched
EdgeCore Mesa Campus,EdgeCore Digital Infrastructure,Mesa,AZ,33.4151117,-111.8314792,"geocoded (Google Maps): Mesa, Arizona",496,critical IT load capability per operator,operational,"84-acre, 5 data centers",https://edgecore.com/locations/phoenix-data-center,researched
Tract Peru Shelf Technology Park,Tract,Storey County (Tahoe-Reno Industrial Center),NV,39.5538819,-119.489697,"geocoded (Google Maps): Tahoe Reno Industrial Center, Storey County, NV",810,capacity per developer,planned,Powered-land data center development; site energization Feb 2027,https://www.tract.com/project/peru-shelf/,researched
QTS Atlanta 1 (Atlanta-Metro) Campus,QTS Data Centers,Atlanta,GA,33.7501275,-84.3885209,"geocoded (Google Maps): Atlanta, Georgia",278,critical campus capacity per operator,operational,Three dedicated Georgia Power substations planned,https://q.com/data-centers/atlanta-1/,researched
Switch KEEP Campus (Atlanta),Switch,Atlanta (Douglas County),GA,33.7514966,-84.7477136,"geocoded (Google Maps): Douglasville, Georgia",150,"campus power per operator; 2,000+ acre expansion campus multi-gigawatt",operational,,https://www.switch.com/atlanta/,researched
Aligned Ashburn Campus,Aligned Data Centers,Ashburn,VA,39.0437567,-77.4874416,"geocoded (Google Maps): Ashburn, Virginia",180,total critical load at full build per company PR,operational,26-acre campus; phase 1 60MW delivered 2019,https://aligneddc.com/press-release/aligned-energy-completes-phase-one-of-ashburn-data-center-campus/,researched
Microsoft Boydton Campus,Microsoft,Boydton,VA,36.6778763,-78.374651,"geocoded (Google Maps): 101 Herbert Dr, Boydton, VA",412.5,reported power capacity compiled from public records (datacenter.fyi),operational,"Mecklenburg County; operational since 2011, expanding",https://datacenter.fyi/project/microsoft-corporation-east-coast-data-center-8276019b,researched (secondary tracker compilation)
Microsoft West Des Moines Campus,Microsoft,West Des Moines,IA,41.5676962,-93.7565884,"geocoded (Google Maps): West Des Moines, Iowa",360,reported power capacity compiled from public records (DataCentersExposed),operational,Polk County; operational since 2014,https://datacentersexposed.com/facilities/microsoft-west-des-moines,researched (secondary tracker compilation)
Google Midlothian Campus,Google,Midlothian,TX,32.475335,-97.0103181,"geocoded (Google Maps): Midlothian, Texas",540,reported power capacity compiled from public records (DataCentersExposed),operational,Ellis County; operating since 2019; Oncor-served,https://datacentersexposed.com/facilities/google-midlothian,researched (secondary tracker compilation)
TeraWulf Lake Hawkeye (former Cayuga plant),TeraWulf,Lansing,NY,42.5753,-76.4852,"geocoded (Google Maps): Lansing, New York",320,total capacity per operator,planned,Redevelopment of former 300MW Cayuga coal plant site,https://www.terawulf.com/our-sites,researched
CloudHQ ORD Campus (Mount Prospect),CloudHQ,Mount Prospect,IL,42.0664167,-87.9372908,"geocoded (Google Maps): Mount Prospect, Illinois",300,up to 300MW critical IT load via on-site substation per operator,planned,Former United Airlines HQ conversion; 252MW currently available,https://cloudhq.com/campus/ord-campus/,researched
Project Jupiter (Stargate Dona Ana),STACK Infrastructure / BorderPlex Digital Assets (tenant: Oracle/OpenAI),Santa Teresa,NM,31.8719,-106.6778,"geocoded (Google Maps): Santa Teresa, New Mexico",2450,on-site generation capacity per revised power plan (Santa Fe New Mexican),under construction,"1,400-acre campus; county IRB approved Sept 2025; Bloom Energy fuel-cell plan replaces gas turbines",https://www.santafenewmexican.com/news/local_news/project-jupiter-developers-overhaul-data-centers-power-plan/article_d7bb0388-8382-4993-b1db-073d148379ac.html,researched
Lancium Clean Campus Fort Stockton,Lancium,Fort Stockton,TX,30.8940456,-102.8793243,"geocoded (Google Maps): Fort Stockton, Texas",325,initial data center capacity per company PR,operational,Broke ground Sept 2021; full scale Q4 2022,https://www.prnewswire.com/news-releases/lancium-breaks-ground-on-first-clean-campus-in-fort-stockton-texas-301377974.html,researched
Rowan Bauxite I-III Campus,Rowan Digital Infrastructure,Frederick County,MD,39.3844507,-77.4701972,"geocoded (Google Maps): Frederick County, Maryland",630,campus capacity per developer,under construction,Bauxite I substantially complete 2025; II/III deliver 2026-27,https://rowan.digital/portfolio/bauxite-i-ii-iii/,researched
Rowan Project Cinco,Rowan Digital Infrastructure,Medina County,TX,29.3555,-99.1103,"geocoded (Google Maps): Medina County, Texas",300,campus capacity per developer,under construction,Completion targeted 2027,https://rowan.digital/portfolio/cinco/,researched
Rowan Percheron Campus,Rowan Digital Infrastructure,Boardman,OR,45.8398951,-119.7005857,"geocoded (Google Maps): Boardman, Oregon",300,campus capacity per developer,planned,Columbia River Gorge; phased buildout to 2030,https://rowan.digital/portfolio/percheron/,researched
Rowan Temple Campus,Rowan Digital Infrastructure,Temple,TX,31.097633,-97.3408419,"geocoded (Google Maps): Temple, Texas",300,campus capacity per developer,under construction,Construction started late 2025; distinct from Meta Temple DC,https://rowan.digital/portfolio/temple/,researched
PORTS-Pike Technology Campus,"SB Energy (customers: NVIDIA, OpenAI)",Piketon,OH,39.0681252,-83.01434429999999,"geocoded (Google Maps): Piketon, Ohio",4250,initial IT capacity per SB Energy; 8 IT-GW total customer commitment,announced,Former Portsmouth Gaseous Diffusion Plant site; NVIDIA exclusive compute provider; distinct from Meta/Oklo Pike County agreement,https://sbenergy.com/nvidia-ai-compute-ports-pike-ohio/,researched
"Data City, Texas",Energy Abundance Development Corp.,"Laredo (50,000-acre site near)",TX,27.5067494,-99.5075521,"geocoded (Google Maps): Laredo, Texas",5000,behind-the-meter hub per company PR; 6GW at full build,announced,Islanded from ERCOT; wind/gas powered,https://www.prnewswire.com/news-releases/energy-abundance-announces-data-city-texas--the-worlds-largest-behind-the-meter-data-center-hub-powered-by-100-247-green-energy-302407052.html,researched
Homer City Energy Campus,Homer City Redevelopment LLC,Homer City,PA,40.5434007,-79.16225659999999,"geocoded (Google Maps): Homer City, Pennsylvania",4400,up to 4.4GW gas-powered delivery per official project site and PA DEP,under construction,"3,200-acre former coal plant redevelopment",https://www.homercityredevelopment.com/project-overview,researched
Alpha Digital Campus (LandBridge/PowerBridge),PowerBridge LLC (LandBridge acreage),Pecos (Reeves County),TX,31.422991,-103.4933506,"geocoded (Google Maps): Pecos, Texas",2000,initial co-located power generation per LandBridge PR,announced,"First power 2027, large-scale 2028; GINR filed",https://www.landbridgeco.com/investor-relations/news/news-details/2026/LandBridge-Announces-Agreement-with-PowerBridge-for-the-Development-of-a-2-GW-Powered-Data-Center-Campus/default.aspx,researched
Stargate Milam County (SB Energy),SB Energy (customer: OpenAI),Rockdale,TX,30.6554298,-97.0013719,"geocoded (Google Maps): Rockdale, Texas",1200,initial data center lease per SB Energy PR,under construction,Stargate program site,https://sbenergy.com/openai-and-softbank-group-partner-with-sb-energy/,researched
